Balance,Qual_miles,cc1_miles,cc2_miles,cc3_miles,Bonus_miles,Bonus_trans,Flight_miles_12mo,Flight_trans_12,Days_since_enroll,Award,Cluster
28143.0,0,1,1,1,174.0,1,0.0,0.0,7000,0,Inactive Base
19244.0,0,1,1,1,215.0,2,0.0,0.0,6968,0,Inactive Base
41354.0,0,1,1,1,4123.0,4,0.0,0.0,7034,0,Inactive Base
14776.0,0,1,1,1,500.0,1,0.0,0.0,6952,0,Inactive Base
97752.0,0,4,1,1,43300.0,26,783.75,2.5,6935,1,Frequent Flyers
16420.0,0,1,1,1,0.0,0,0.0,0.0,6942,0,Inactive Base
84914.0,0,3,1,1,27482.0,25,0.0,0.0,6994,0,Bonus Accumulators
20856.0,0,1,1,1,5250.0,4,250.0,1.0,6938,1,Inactive Base
203211.125,0,3,2,1,1753.0,38,783.75,2.5,6948,1,Frequent Flyers
104860.0,0,3,1,1,28426.0,28,783.75,2.5,6931,1,Frequent Flyers
40091.0,0,2,1,1,7278.0,10,0.0,0.0,6959,0,Inactive Base
96522.0,0,5,1,1,57651.875,19,0.0,0.0,6924,1,Bonus Accumulators
43382.0,0,2,1,1,11150.0,20,0.0,0.0,6924,0,Inactive Base
43097.0,0,1,1,1,3258.0,6,0.0,0.0,6918,0,Inactive Base
17648.0,0,1,1,1,0.0,0,0.0,0.0,6912,0,Inactive Base
28495.0,0,4,1,1,49442.0,15,0.0,0.0,6912,1,Bonus Accumulators
51890.0,0,4,1,1,48963.0,16,0.0,0.0,6910,1,Bonus Accumulators
13958.0,0,1,1,1,4291.0,5,0.0,0.0,6905,1,Inactive Base
91473.0,0,3,1,1,27408.0,17,0.0,0.0,6903,1,Bonus Accumulators
23354.0,0,3,1,1,10447.0,5,0.0,0.0,6896,1,Bonus Accumulators
120576.0,0,5,1,1,57651.875,23,250.0,2.0,6896,1,Bonus Accumulators
185681.0,0,1,1,1,13300.0,16,783.75,2.5,6896,1,Frequent Flyers
20584.0,0,1,1,1,3450.0,11,783.75,2.5,6884,0,Frequent Flyers
66275.0,0,1,1,1,2533.0,11,150.0,1.0,6884,0,Inactive Base
203211.125,0,1,1,1,4025.0,21,700.0,2.5,7932,0,Frequent Flyers
20726.0,0,1,1,1,1375.0,4,0.0,0.0,7924,0,Inactive Base
18521.0,0,1,1,1,1227.0,2,783.75,2.0,7917,0,Frequent Flyers
8828.0,0,1,1,1,0.0,0,0.0,0.0,7914,0,Inactive Base
59763.0,0,3,1,1,33772.0,20,100.0,1.0,7907,1,Bonus Accumulators
19221.0,0,1,1,1,4655.0,8,500.0,1.0,7896,1,Frequent Flyers
177926.0,0,3,1,1,20797.0,13,0.0,0.0,7886,0,Bonus Accumulators
10021.0,0,1,1,1,0.0,0,0.0,0.0,7879,0,Inactive Base
203211.125,0,4,1,1,42044.0,23,0.0,0.0,7872,0,Bonus Accumulators
18047.0,0,1,1,1,100.0,1,0.0,0.0,7868,0,Inactive Base
43832.0,0,1,1,1,0.0,0,0.0,0.0,7865,0,Inactive Base
123759.0,0,4,1,1,50572.0,23,783.75,2.5,7865,1,Frequent Flyers
23193.0,0,1,1,1,650.0,4,550.0,2.5,7861,1,Frequent Flyers
68666.0,0,1,1,1,350.0,2,350.0,2.0,7861,0,Inactive Base
59990.0,0,3,1,1,27878.0,17,0.0,0.0,7854,1,Bonus Accumulators
2176.0,0,1,1,1,0.0,0,0.0,0.0,7847,1,Inactive Base
34616.0,0,1,1,1,1750.0,4,500.0,1.0,7850,0,Inactive Base
10470.0,0,4,1,1,38094.0,26,0.0,0.0,7840,1,Bonus Accumulators
60313.0,0,1,1,1,10000.0,26,783.75,2.5,7829,1,Frequent Flyers
203211.125,0,3,1,1,15008.0,14,0.0,0.0,7819,1,Bonus Accumulators
121260.0,0,3,1,1,18493.0,18,0.0,0.0,7808,0,Bonus Accumulators
203211.125,0,1,1,1,23600.0,14,783.75,2.5,6884,1,Frequent Flyers
92336.0,0,2,1,1,11214.0,6,0.0,0.0,6884,0,Inactive Base
36924.0,0,1,1,1,5900.0,6,300.0,2.0,6879,1,Frequent Flyers
70312.0,0,3,1,1,34678.0,24,500.0,1.0,6875,1,Bonus Accumulators
17051.0,0,1,1,1,1150.0,4,783.75,2.5,6868,0,Frequent Flyers
108137.0,0,1,1,1,6368.0,5,783.75,2.5,6844,0,Frequent Flyers
1300.0,0,1,1,1,370.0,1,0.0,0.0,6868,0,Inactive Base
118531.0,0,4,1,1,44577.0,38,0.0,0.0,6868,1,Bonus Accumulators
121395.0,0,1,1,1,4970.0,8,650.0,2.0,6889,1,Frequent Flyers
38348.0,0,1,1,1,0.0,0,0.0,0.0,6861,0,Inactive Base
14448.0,0,1,1,1,1625.0,6,0.0,0.0,6856,0,Inactive Base
75971.0,0,4,1,1,34339.0,14,0.0,0.0,6869,0,Bonus Accumulators
36298.0,0,1,1,1,3100.0,5,600.0,2.5,6865,1,Frequent Flyers
38077.0,0,3,1,1,34024.0,8,0.0,0.0,6837,0,Bonus Accumulators
95118.0,0,3,1,1,23188.0,23,783.75,2.5,6865,1,Frequent Flyers
134457.0,0,3,1,1,15588.0,14,0.0,0.0,6861,0,Bonus Accumulators
19918.0,0,1,1,1,17601.0,11,0.0,0.0,6863,0,Inactive Base
10120.0,0,1,1,1,0.0,0,0.0,0.0,6864,0,Inactive Base
203211.125,0,1,1,1,28079.0,8,0.0,0.0,6835,0,Bonus Accumulators
80250.0,0,1,1,1,895.0,2,0.0,0.0,6833,0,Inactive Base
53914.0,0,3,1,1,33767.0,38,783.75,2.5,6826,1,Frequent Flyers
9375.0,0,1,1,1,1750.0,7,0.0,0.0,6826,0,Inactive Base
83237.0,0,4,1,1,35287.0,18,0.0,0.0,6837,0,Bonus Accumulators
203211.125,0,3,1,1,24047.0,12,0.0,0.0,6826,1,Bonus Accumulators
47457.0,0,3,1,1,12621.0,16,0.0,0.0,7766,1,Bonus Accumulators
84409.0,0,2,1,1,15436.0,16,783.75,2.5,7766,0,Frequent Flyers
203211.125,0,4,1,1,39787.0,13,0.0,0.0,7787,0,Bonus Accumulators
203211.125,0,3,1,1,12500.0,13,50.0,1.0,7801,0,Bonus Accumulators
12646.0,0,1,1,1,631.0,4,631.0,2.5,7787,0,Frequent Flyers
123867.0,0,3,1,1,25308.0,17,0.0,0.0,7759,0,Bonus Accumulators
129871.0,0,3,1,1,15776.0,22,0.0,0.0,7752,0,Bonus Accumulators
109380.0,0,1,1,1,7537.0,16,0.0,0.0,7749,0,Inactive Base
111157.0,0,4,1,1,32883.0,19,0.0,0.0,7771,0,Bonus Accumulators
49238.0,0,4,1,1,38037.0,18,0.0,0.0,7801,1,Bonus Accumulators
38896.0,0,5,1,1,57651.875,16,556.0,1.0,7771,1,Bonus Accumulators
4340.0,0,1,1,1,32685.0,5,0.0,0.0,7733,1,Inactive Base
88443.0,0,1,1,1,1200.0,3,783.75,2.5,6837,0,Frequent Flyers
8454.0,0,1,1,1,498.0,9,0.0,0.0,6821,0,Inactive Base
61990.0,0,1,1,1,1625.0,6,0.0,0.0,6833,0,Inactive Base
24093.0,0,1,1,1,1750.0,7,0.0,0.0,6819,0,Inactive Base
35418.0,0,5,1,1,57651.875,18,783.75,2.5,6813,1,Frequent Flyers
40284.0,0,1,1,1,7719.0,5,0.0,0.0,6827,1,Inactive Base
203211.125,0,3,1,1,21422.0,22,783.75,2.5,6820,0,Frequent Flyers
62553.0,0,2,1,1,7672.0,16,700.0,1.0,6819,0,Frequent Flyers
48433.0,0,1,1,1,3500.0,4,500.0,1.0,6807,1,Frequent Flyers
20508.0,0,1,1,1,22250.0,8,783.75,2.5,6794,1,Frequent Flyers
2000.0,0,1,1,1,2000.0,4,783.75,2.5,6809,0,Frequent Flyers
78629.0,0,4,1,1,36679.0,25,0.0,0.0,6817,1,Bonus Accumulators
143566.0,0,1,1,1,5000.0,5,783.75,2.5,6785,1,Frequent Flyers
185549.0,0,5,1,1,57651.875,38,783.75,2.5,6778,1,Frequent Flyers
16796.0,0,1,1,1,2875.0,16,0.0,0.0,6773,0,Inactive Base
57346.0,0,1,1,1,5560.0,23,0.0,0.0,6766,0,Inactive Base
102062.0,0,4,1,1,44247.0,16,0.0,0.0,6758,0,Bonus Accumulators
22324.0,0,1,1,1,1375.0,4,0.0,0.0,6753,0,Inactive Base
64824.0,0,3,1,1,20184.0,13,0.0,0.0,6770,1,Bonus Accumulators
25076.0,0,5,1,1,57203.0,14,0.0,0.0,6750,1,Bonus Accumulators
8053.0,0,1,1,1,0.0,0,0.0,0.0,6750,1,Inactive Base
35119.0,0,1,1,1,0.0,0,0.0,0.0,6749,0,Inactive Base
28667.0,0,1,1,1,3861.0,7,783.75,2.5,6749,1,Frequent Flyers
34327.0,0,1,1,1,0.0,0,0.0,0.0,6745,0,Inactive Base
3734.0,0,5,1,1,57651.875,18,150.0,2.0,6760,1,Bonus Accumulators
96627.0,0,1,1,3,49059.0,26,783.75,2.5,6738,1,Frequent Flyers
43498.0,0,1,1,1,0.0,0,0.0,0.0,6759,1,Inactive Base
84674.0,0,4,1,1,46335.0,14,50.0,1.0,6738,1,Bonus Accumulators
15098.0,0,4,1,1,32917.0,26,550.0,2.5,6737,1,Frequent Flyers
181019.0,0,3,1,1,18415.0,15,0.0,0.0,7714,0,Bonus Accumulators
203211.125,0,1,1,1,8550.0,11,783.75,2.5,7714,1,Frequent Flyers
124198.0,0,5,1,1,57651.875,23,783.75,2.5,7710,0,Frequent Flyers
56906.0,0,1,1,1,2015.0,13,0.0,0.0,7707,1,Inactive Base
203211.125,0,1,1,1,5422.0,20,783.75,2.0,7700,1,Frequent Flyers
67018.0,0,3,1,1,23260.0,25,0.0,0.0,7698,0,Bonus Accumulators
143967.0,0,2,1,1,7346.0,11,0.0,0.0,7689,0,Bonus Accumulators
203211.125,0,1,1,1,2500.0,3,783.75,2.0,7718,1,Frequent Flyers
122705.0,0,3,1,1,24222.0,15,0.0,0.0,7682,1,Bonus Accumulators
16583.0,0,1,1,1,2625.0,7,0.0,0.0,7682,1,Inactive Base
77540.0,0,1,1,1,1000.0,1,0.0,0.0,7683,0,Inactive Base
203211.125,0,5,1,1,57651.875,38,783.75,2.5,7668,1,Frequent Flyers
81974.0,0,4,1,1,37266.0,18,783.75,2.5,7661,1,Frequent Flyers
47258.0,0,3,1,1,24768.0,19,0.0,0.0,7659,1,Bonus Accumulators
77699.0,0,4,1,1,42775.0,13,0.0,0.0,7654,0,Bonus Accumulators
133954.0,0,4,1,1,37670.0,18,783.75,2.5,7654,1,Frequent Flyers
203211.125,0,5,1,1,57651.875,26,783.75,2.5,7652,1,Frequent Flyers
203211.125,0,4,1,1,56308.0,38,783.75,2.5,7645,1,Frequent Flyers
48333.0,0,2,1,1,10123.0,14,0.0,0.0,6737,1,Bonus Accumulators
142175.0,0,4,1,1,37461.0,22,0.0,0.0,6732,1,Bonus Accumulators
17469.0,0,1,1,1,0.0,0,0.0,0.0,6730,1,Inactive Base
19823.0,0,1,1,1,1095.0,3,335.0,1.0,6730,1,Inactive Base
145074.0,0,1,1,1,8000.0,4,0.0,0.0,6746,1,Inactive Base
101101.0,0,1,1,1,10850.0,11,783.75,2.5,6725,1,Frequent Flyers
125948.0,0,3,1,1,15155.0,15,0.0,0.0,6761,1,Bonus Accumulators
203211.125,0,1,1,1,19172.0,26,783.75,2.5,6723,1,Frequent Flyers
129298.0,0,4,1,1,29099.0,15,0.0,0.0,6722,0,Bonus Accumulators
103302.0,0,4,1,1,53552.0,22,700.0,2.5,6718,1,Frequent Flyers
160447.0,0,1,1,1,8578.0,25,0.0,0.0,6716,1,Bonus Accumulators
15472.0,0,1,1,1,3500.0,14,0.0,0.0,6715,0,Inactive Base
39628.0,0,1,1,1,0.0,0,0.0,0.0,6711,0,Inactive Base
6112.0,0,1,1,1,0.0,0,0.0,0.0,6709,0,Inactive Base
31769.0,0,1,1,1,450.0,2,450.0,2.0,6707,0,Inactive Base
126787.0,0,4,1,1,35021.0,17,0.0,0.0,6701,0,Bonus Accumulators
41547.0,0,3,1,1,16857.0,17,0.0,0.0,6697,0,Bonus Accumulators
100640.0,0,1,1,1,7600.0,8,783.75,2.5,6708,1,Frequent Flyers
18707.0,0,1,1,1,100.0,1,0.0,0.0,6693,0,Inactive Base
50593.0,0,5,1,1,57651.875,17,783.75,2.0,6689,1,Frequent Flyers
84631.0,0,3,1,1,20415.0,17,0.0,0.0,6736,0,Bonus Accumulators
24868.0,0,1,1,1,205.0,5,0.0,0.0,6689,0,Inactive Base
77097.0,0,4,1,1,42403.0,22,783.75,2.5,6683,1,Frequent Flyers
203211.125,0,5,1,1,57651.875,18,783.75,2.5,7640,1,Frequent Flyers
203211.125,0,5,1,1,57651.875,20,500.0,1.0,7640,0,Bonus Accumulators
87474.0,0,1,1,1,4581.0,15,0.0,0.0,7634,0,Inactive Base
48707.0,0,4,1,1,37655.0,14,0.0,0.0,7631,1,Bonus Accumulators
203211.125,0,4,1,1,52574.0,21,500.0,1.0,7626,0,Bonus Accumulators
203211.125,0,3,1,1,19926.0,12,0.0,0.0,7624,0,Bonus Accumulators
44182.0,0,3,1,1,12313.0,12,0.0,0.0,7619,1,Bonus Accumulators
203211.125,0,5,1,1,57651.875,21,0.0,0.0,7612,1,Bonus Accumulators
46823.0,0,1,1,1,5860.0,12,0.0,0.0,7613,0,Inactive Base
69110.0,0,3,1,1,18500.0,19,0.0,0.0,7598,0,Bonus Accumulators
120700.0,0,5,1,1,55323.0,17,783.75,1.0,7598,1,Frequent Flyers
152945.0,0,1,1,1,18604.0,6,783.75,2.0,7598,1,Frequent Flyers
